User ID,GENDER,AGE,WORKING,REGION,Hours Listening to Music
47422,Female,20,Full-time student,Midlands,4 hours
49945,Male,45,Employed 8-29 hours per week,Midlands,2 hours
19530,Male,14,Full-time student,South,6 hours
40708,Male,35,Employed 30+ hours a week,Midlands,1 hour
29207,Female,53,Employed 8-29 hours per week,South,2 hours
15204,Female,61,,South,
49633,Male,63,Retired from full-time employment (30+ hours per week),Midlands,0 Hours
47094,Female,26,,South,2
20994,Female,28,Employed 30+ hours a week,North,1 hour
50299,Male,28,Temporarily unemployed,North,5 hours
5774,Female,19,,South,4
48176,Female,50,Employed 8-29 hours per week,South,Less than an hour
32110,Male,51,Part-time student,North,1 hour
42645,Male,31,Full-time housewife / househusband,North,Less than an hour
33984,Female,54,Employed 30+ hours a week,South,Less than an hour
36238,Male,13,Full-time student,North,2 hours
2225,Male,64,Retired from full-time employment (30+ hours per week),South,2 hours
25483,Female,66,Retired from self-employment,Midlands,Less than an hour
24264,Female,69,Retired from full-time employment (30+ hours per week),North,2 hours
50446,Male,15,Full-time student,South,4 hours
14471,Male,35,,North,1
7163,Female,62,,South,
41763,Male,53,In unpaid employment (e.g. voluntary work),North,1 hour
7136,Female,33,,Centre,1
22992,Male,42,Prefer not to state,Midlands,2 hours
49281,Male,19,Full-time student,South,1 hour
30661,Female,37,Employed 8-29 hours per week,North,1 hour
24274,Male,14,Other,South,2 hours
41164,Male,20,Employed 30+ hours a week,North,1 hour
46966,Female,46,,South,1
36710,Male,33,Employed 30+ hours a week,North,0 Hours
16168,Male,38,,Midlands,2
8610,Male,40,,North,4
46217,Male,51,,North,
28672,Male,35,Employed 30+ hours a week,South,
20172,Female,27,Employed 30+ hours a week,Midlands,Less than an hour
38962,Male,19,Full-time student,North,5 hours
42589,Female,37,Employed 8-29 hours per week,Midlands,Less than an hour
22277,Male,60,Retired from full-time employment (30+ hours per week),North,2 hours
47289,Male,41,,Centre,0
1810,Male,73,Retired from full-time employment (30+ hours per week),North,Less than an hour
43521,Female,69,Full-time housewife / househusband,Midlands,0 Hours
42767,Male,21,Full-time student,North,1 hour
37054,Female,32,Employed 30+ hours a week,Northern Ireland,Less than an hour
19779,Female,54,Temporarily unemployed,South,4 hours
43716,Female,49,Employed 8-29 hours per week,North,Less than an hour
39639,Female,61,Retired from full-time employment (30+ hours per week),Midlands,4 hours
11581,Male,39,Employed 30+ hours a week,South,1 hour
2977,Male,54,Self-employed,Midlands,1 hour
30060,Male,61,Retired from full-time employment (30+ hours per week),South,2 hours
46814,Male,42,,Centre,1
43220,Female,32,Employed 30+ hours a week,Midlands,2 hours
4689,Male,20,Full-time student,Northern Ireland,5 hours
1422,Female,48,,Centre,1
12071,Male,26,Employed 30+ hours a week,Midlands,1 hour
47093,Male,30,,Centre,1
29154,Male,45,Temporarily unemployed,North,
20363,Male,34,Employed 30+ hours a week,North,1 hour
41558,Female,35,Employed 30+ hours a week,North,8 hours
7027,Female,49,,Centre,
49745,Male,28,Employed 30+ hours a week,Midlands,Less than an hour
43140,Female,31,Full-time housewife / househusband,North,0 Hours
28441,Female,19,Full-time student,North,12 hours
2173,Female,15,Full-time student,Midlands,14 hours
44862,Female,32,In unpaid employment (e.g. voluntary work),Midlands,2 hours
44402,Female,27,Employed 30+ hours a week,Midlands,4 hours
17113,Male,35,Employed 30+ hours a week,South,7 hours
45001,Female,46,Employed 8-29 hours per week,Midlands,3 hours
9694,Male,17,,North,2
24146,Female,35,Self-employed,North,8 hours
32337,Female,26,,,
47189,Female,24,,North,2
40462,Male,16,Full-time student,South,4 hours
18731,Male,28,Employed 30+ hours a week,South,2 hours
13754,Male,66,,South,0
34116,Female,46,Full-time housewife / househusband,South,
38925,Male,15,Full-time student,Midlands,2 hours
12083,Female,64,Employed 30+ hours a week,South,2 hours
16599,Male,40,,Midlands,
41599,Female,47,Self-employed,North,Less than an hour
17008,Female,20,Full-time housewife / househusband,South,1 hour
43350,Female,41,Employed 8-29 hours per week,Midlands,3 hours
10389,Male,23,,Centre,2
22130,Female,,Full-time housewife / househusband,South,7 hours
21860,Male,34,Self-employed,Northern Ireland,Less than an hour
33128,Male,85,,,1
50676,Male,48,Employed 30+ hours a week,South,2 hours
19047,Male,63,Retired from full-time employment (30+ hours per week),North,1 hour
5764,Female,75,,North,2
5437,Female,49,Employed 8-29 hours per week,South,3 hours
14671,Female,24,,South,3
7598,Female,,,South,
14781,Female,56,,South,2
23961,Female,47,Employed 30+ hours a week,Northern Ireland,1 hour
29961,Female,58,Retired from full-time employment (30+ hours per week),South,Less than an hour
27405,Female,63,Retired from full-time employment (30+ hours per week),South,Less than an hour
16039,Male,36,,North,2
7740,Female,17,,South,2
17071,Female,36,Employed 30+ hours a week,South,1 hour
50509,Male,21,Employed 30+ hours a week,South,Less than an hour
38089,Male,31,Employed 8-29 hours per week,Midlands,1 hour
11625,Male,45,Employed 30+ hours a week,South,Less than an hour
26253,Female,20,Full-time student,South,0 Hours
31968,Male,54,Self-employed,South,Less than an hour
48025,Male,26,Employed 30+ hours a week,North,3 hours
924,Female,61,,Centre,1
8246,Male,54,,North,4
8020,Male,50,,South,2
25503,Female,68,Retired from full-time employment (30+ hours per week),Midlands,1 hour
8968,Female,22,,South,2
41055,Female,77,Retired from full-time employment (30+ hours per week),South,0 Hours
14749,Male,54,,North,1
8371,Male,41,,South,1
7672,Male,13,,North,2
8706,Female,37,,North,1
4521,Female,42,Employed 30+ hours a week,South,2 hours
31288,Female,25,Full-time student,North,Less than an hour
41570,Female,61,Employed part-time less than 8 hours per week,Midlands,
13885,Female,71,,North,
10902,Female,44,,North Ireland,1
481,Female,54,,South,
18730,Male,43,Employed 30+ hours a week,Midlands,1 hour
50832,Female,28,Employed 30+ hours a week,Midlands,1 hour
37552,Female,44,Employed 8-29 hours per week,South,
25958,Female,39,Employed 30+ hours a week,South,
43219,Male,34,Temporarily unemployed,North,1 hour
25646,Male,15,Full-time student,South,4 hours
2058,Male,14,Full-time student,Midlands,2 hours
5917,Male,22,,North,0
13720,Male,65,,South,0
39583,Male,27,Employed 30+ hours a week,North,3 hours
30965,Male,14,Full-time student,South,1 hour
46651,Female,22,,South,1
5720,Male,72,,South,2
36576,Male,18,Other,North,2 hours
7364,Female,47,,Centre,4
7061,Female,45,,Centre,
20156,Male,42,Employed 30+ hours a week,South,Less than an hour
30882,Male,26,Employed 30+ hours a week,North,3 hours
8408,Male,51,,South,1
17803,Male,54,Employed 30+ hours a week,Midlands,3 hours
742,Male,16,,South,
13113,Female,15,Full-time student,Midlands,1 hour
7338,Female,48,,Centre,
12832,Male,21,Full-time student,Midlands,5 hours
36883,Female,13,Full-time student,South,
29332,Female,54,Employed 8-29 hours per week,North,2 hours
47948,Female,19,Full-time student,Midlands,3 hours
38934,Male,41,Other,Midlands,
37021,Male,37,Employed 30+ hours a week,South,Less than an hour
22641,Male,50,Employed 30+ hours a week,Midlands,4 hours
32694,Female,38,,,
19932,Male,50,Other,Midlands,Less than an hour
42992,Male,52,Self-employed,South,3 hours
12789,Female,32,Self-employed,Midlands,Less than an hour
18706,Female,60,Employed 30+ hours a week,South,1 hour
33137,Female,22,,,4
11924,Female,31,Employed 8-29 hours per week,South,1 hour
46923,Male,40,,North,1
7330,Female,53,,North,
8546,Female,52,,North,1
9883,Male,58,,South,
16256,Female,38,,South,
6587,Male,64,,Centre,0
48662,Female,52,Employed 8-29 hours per week,Midlands,2 hours
12110,Female,31,Full-time housewife / househusband,Midlands,2 hours
18292,Male,55,Employed 30+ hours a week,South,4 hours
40353,Male,40,Employed 30+ hours a week,North,3 hours
31664,Female,41,Employed 30+ hours a week,Midlands,1 hour
40668,Female,29,Employed 30+ hours a week,Midlands,10 hours
46070,Male,58,,North,1
12954,Male,13,Full-time student,South,3 hours
15378,Female,29,,South,
19665,Female,,Employed 30+ hours a week,North,5 hours
44685,Male,41,Employed 30+ hours a week,Midlands,2 hours
34780,Female,52,Employed 30+ hours a week,South,Less than an hour
12995,Female,14,Full-time student,North,1 hour
20479,Female,18,Full-time student,South,Less than an hour
35114,Female,24,Employed 8-29 hours per week,North,2 hours
4059,Male,15,Temporarily unemployed,South,3 hours
11245,Female,14,Full-time student,North,3 hours
32832,Female,28,,,1
14462,Female,46,,South,0
6740,Female,47,,Centre,1
7811,Female,18,,South,1
8192,Female,27,,North,1
23084,Female,15,Full-time student,Northern Ireland,4 hours
38007,Male,26,Employed 30+ hours a week,Midlands,3 hours
24396,Male,14,Employed 30+ hours a week,North,4 hours
35636,Female,36,Employed 30+ hours a week,North,3 hours
16107,Male,62,,Midlands,
40146,Female,20,Employed 8-29 hours per week,Midlands,3 hours
19186,Male,34,Employed 30+ hours a week,Midlands,Less than an hour
31519,Female,41,Employed 30+ hours a week,North,Less than an hour
42362,Female,39,Self-employed,South,10 hours
22426,Female,42,Employed 8-29 hours per week,South,Less than an hour
48751,Male,52,Retired from full-time employment (30+ hours per week),Midlands,10 hours
30792,Male,33,Employed 30+ hours a week,North,3 hours
43326,Male,13,Full-time student,Northern Ireland,Less than an hour
36762,Female,61,Employed 8-29 hours per week,North,1 hour
20466,Male,58,Employed 8-29 hours per week,North,3 hours
47835,Female,52,Full-time housewife / househusband,North,
14836,Male,58,,North,1
5503,Male,44,Employed 8-29 hours per week,South,7 hours
26257,Female,33,Temporarily unemployed,North,
5577,Male,31,Employed 30+ hours a week,South,1 hour
49999,Female,42,Employed 30+ hours a week,North,3 hours
45627,Male,14,,Centre,2
40535,Female,57,Retired from full-time employment (30+ hours per week),Midlands,1 hour
49094,Male,25,Full-time student,Midlands,Less than an hour
33690,Female,22,Full-time student,Midlands,2 hours
27283,Female,63,Self-employed,South,0 Hours
44391,Male,29,Employed 30+ hours a week,South,Less than an hour
9102,Male,57,,South,0
42077,Female,35,Employed 30+ hours a week,North,1 hour
46682,Female,61,,North,
47766,Male,54,Employed 30+ hours a week,South,3 hours
7236,Male,36,,North,2
17691,Male,27,Full-time student,South,4 hours
7439,Female,68,,South,1
38273,Male,37,Employed 30+ hours a week,Midlands,1 hour
30520,Male,24,Employed 30+ hours a week,Midlands,1 hour
28310,Male,57,Temporarily unemployed,North,3 hours
46709,Male,38,,North,4
19109,Male,38,Employed 30+ hours a week,Midlands,Less than an hour
18235,Female,38,Employed part-time less than 8 hours per week,South,Less than an hour
11203,Male,14,Full-time student,North,2 hours
8464,Male,42,,North,0
24015,Male,45,Employed 30+ hours a week,South,3 hours
33882,Female,26,Employed 30+ hours a week,Midlands,Less than an hour
12016,Male,58,Employed 30+ hours a week,South,1 hour
50553,Female,53,Employed 30+ hours a week,Midlands,2 hours
49223,Female,69,Retired from full-time employment (30+ hours per week),North,1 hour
525,Female,59,,Centre,3
13772,Male,66,,South,2
14024,Male,18,,South,3
44272,Female,42,Full-time housewife / househusband,Midlands,0 Hours
21484,Male,57,Employed 30+ hours a week,South,Less than an hour
3186,Female,37,Self-employed,North,1 hour
41213,Male,59,Self-employed,South,0 Hours
12543,Male,39,Employed 30+ hours a week,Midlands,Less than an hour
1509,Female,49,,Centre,1
1875,Female,65,Self-employed,Midlands,2 hours
22501,Male,55,Self-employed,North,0 Hours
1952,Male,13,Full-time student,Midlands,Less than an hour
8185,Male,47,,South,0
20018,Female,57,Employed 8-29 hours per week,North,2 hours
23708,Male,43,Self-employed,North,Less than an hour
29939,Male,18,Full-time student,South,12 hours
33829,Female,55,Employed 30+ hours a week,South,0 Hours
32300,Female,20,,,0
45807,Male,13,,South,0
44378,Male,54,Employed 30+ hours a week,South,2 hours
22728,Female,44,Employed 30+ hours a week,North,1 hour
25772,Male,65,Retired from full-time employment (30+ hours per week),South,0 Hours
39710,Female,33,Employed 8-29 hours per week,Midlands,Less than an hour
45795,Female,15,,South,3
659,Female,17,,Centre,3
19001,Male,48,Employed 30+ hours a week,North,1 hour
7865,Male,46,,South,2
6495,Male,63,,South,
22716,Male,41,Employed 30+ hours a week,South,5 hours
33519,Female,63,Retired from full-time employment (30+ hours per week),South,3 hours
17881,Female,59,Employed 8-29 hours per week,South,0 Hours
1081,Female,44,,South,
34470,Male,56,Employed 8-29 hours per week,North,Less than an hour
9838,Male,48,,South,2
45448,Male,30,Employed 30+ hours a week,Midlands,10 hours
39367,Female,46,Employed 30+ hours a week,South,12 hours
31448,Male,24,Employed 8-29 hours per week,Midlands,3 hours
25899,Female,15,Full-time student,South,5 hours
10694,Male,36,,North,5
9649,Female,47,,North,
747,Female,37,,North,3
5009,Male,43,Self-employed,North,Less than an hour
18132,Female,53,Employed 8-29 hours per week,North,1 hour
45522,Female,,,North,
47347,Male,14,Full-time student,South,
20316,Male,37,Employed 30+ hours a week,North,1 hour
18406,Female,49,Temporarily unemployed,Northern Ireland,1 hour
41921,Female,55,Temporarily unemployed,North,12 hours
44888,Male,48,Self-employed,South,3 hours
468,Female,62,,North,2
20347,Female,35,Full-time housewife / househusband,North,2 hours
35058,Male,36,Employed 30+ hours a week,North,1 hour
12973,Female,22,Full-time student,North,2 hours
44245,Female,34,Employed 30+ hours a week,South,
38778,Female,29,Full-time housewife / househusband,North,3 hours
45112,Female,29,Other,South,3 hours
18215,Female,52,Employed 30+ hours a week,South,1 hour
46196,Male,56,,North,0
410,Female,39,,South,2
16836,Female,22,Full-time student,South,3 hours
32934,Female,32,,,2
7065,Female,25,,Centre,7
33062,Male,43,,,
32297,Male,45,,,1
36149,Female,21,Employed 30+ hours a week,South,6 hours
13303,Female,41,Full-time housewife / househusband,South,0 Hours
8387,Male,49,,North,
20453,Male,67,Retired from full-time employment (30+ hours per week),North,3 hours
15359,Male,21,,South,
18156,Male,20,Full-time student,Midlands,4 hours
3263,Female,39,Employed 8-29 hours per week,North,2 hours
6528,Female,31,,South,1
44141,Female,35,Full-time housewife / househusband,South,Less than an hour
24291,Female,20,Employed 8-29 hours per week,Midlands,3 hours
49382,Female,20,Full-time student,North,3 hours
47662,Male,16,Full-time student,South,16+ hours
50540,Female,21,Employed 8-29 hours per week,North,
31917,Male,53,Employed 30+ hours a week,South,1 hour
9617,Female,23,,North,1
20576,Male,15,Full-time student,South,1 hour
630,Male,30,,North,1
4034,Male,20,Full-time student,South,Less than an hour
4648,Male,36,Temporarily unemployed,Midlands,4 hours
42944,Female,19,Full-time student,North,8 hours
39665,Male,38,Employed 30+ hours a week,North,3 hours
13258,Male,52,Employed 30+ hours a week,North,1 hour
18825,Male,39,Employed 30+ hours a week,South,2 hours
14723,Male,54,,South,3
25554,Male,65,Employed 30+ hours a week,North,16+ hours
1318,Male,54,,Centre,
43260,Female,31,Employed 8-29 hours per week,Midlands,15 hours
12362,Female,30,Employed 30+ hours a week,North,Less than an hour
704,Female,18,,Centre,
17560,Female,24,Employed 30+ hours a week,Midlands,1 hour
38168,Male,31,Employed 30+ hours a week,North,2 hours
21800,Female,60,Full-time housewife / househusband,North,0 Hours
28564,Female,41,Full-time housewife / househusband,South,1 hour
50657,Female,26,Employed 30+ hours a week,North,0 Hours
40591,Male,49,Employed 30+ hours a week,North,2 hours
12400,Female,23,Employed 30+ hours a week,South,Less than an hour
13133,Female,28,Employed 30+ hours a week,North,2 hours
21604,Male,24,Employed 8-29 hours per week,North,1 hour
2575,Male,48,Employed 30+ hours a week,North,1 hour
8896,Female,14,,South,2
44139,Male,38,Employed 30+ hours a week,Midlands,2 hours
11968,Female,38,Full-time housewife / househusband,Midlands,2 hours
4128,Female,23,Employed 30+ hours a week,Midlands,14 hours
20470,Male,69,In unpaid employment (e.g. voluntary work),South,2 hours
27281,Female,40,Employed 30+ hours a week,Midlands,2 hours
6493,Male,46,,North,2
45537,Male,67,,South,1
39602,Male,25,In unpaid employment (e.g. voluntary work),North,1 hour
39251,Female,27,Full-time student,Midlands,2 hours
15325,Male,35,,South,
31470,Male,18,Full-time student,Midlands,3 hours
45039,Female,30,Employed 30+ hours a week,Midlands,1 hour
34533,Female,55,Full-time housewife / househusband,South,Less than an hour
3194,Female,23,Full-time student,Midlands,3 hours
8604,Female,45,,South,
435,Male,64,,North,4
39054,Male,44,Employed 30+ hours a week,North,Less than an hour
14190,Female,44,,Midlands,6
17520,Female,57,Retired from full-time employment (30+ hours per week),North,1 hour
48179,Male,17,Full-time student,North,5 hours
6613,Male,38,,Centre,
24367,Female,15,Employed 8-29 hours per week,South,5 hours
19751,Male,61,Retired from full-time employment (30+ hours per week),North,1 hour
11112,Male,55,Employed 30+ hours a week,Midlands,
32628,Male,40,,,
19867,Female,50,Employed 8-29 hours per week,South,Less than an hour
24558,Female,58,Employed 8-29 hours per week,North,4 hours
41191,Female,13,Full-time student,North,Less than an hour
36896,Female,24,Full-time housewife / househusband,South,3 hours
42472,Male,38,Employed 30+ hours a week,South,2 hours
37639,Male,18,Full-time student,North,16+ hours
41609,Female,20,Full-time student,Midlands,3 hours
19196,Female,28,Self-employed,North,4 hours
47674,Male,14,Prefer not to state,South,0 Hours
48008,Female,23,Employed 8-29 hours per week,Northern Ireland,9 hours
42946,Female,35,Employed 30+ hours a week,North,5 hours
4298,Male,14,Employed 30+ hours a week,Midlands,2 hours
10836,Female,29,,North,2
13400,Female,39,Employed 30+ hours a week,Midlands,Less than an hour
26762,Male,64,Retired from full-time employment (30+ hours per week),North,Less than an hour
34944,Female,35,Employed 8-29 hours per week,North,1 hour
1340,Male,45,,Centre,
30439,Female,35,Employed 30+ hours a week,South,1 hour
3777,Male,52,Employed 30+ hours a week,North,Less than an hour
29210,Male,46,Other,Midlands,1 hour
29764,Female,24,Employed 30+ hours a week,South,Less than an hour
49808,Male,52,Employed 30+ hours a week,North,1 hour
19451,Female,15,Full-time student,South,Less than an hour
22622,Female,30,Employed 30+ hours a week,South,4 hours
46535,Female,47,,North,2
45452,Male,38,Temporarily unemployed,Midlands,2 hours
34101,Female,59,Retired from full-time employment (30+ hours per week),North,1 hour
33501,Female,18,Full-time student,North,2 hours
18826,Female,56,Employed 8-29 hours per week,South,1 hour
46683,Female,35,,North,1
44577,Male,55,Employed 30+ hours a week,Midlands,0 Hours
19757,Female,23,Full-time student,South,3 hours
50890,Female,38,Other,Midlands,1 hour
48236,Male,48,Temporarily unemployed,South,2 hours
12590,Male,64,Retired from full-time employment (30+ hours per week),South,Less than an hour
41037,Male,24,Temporarily unemployed,South,5 hours
39576,Male,32,Employed 8-29 hours per week,Midlands,7 hours
45799,Female,50,,Centre,4
9820,Male,28,,South,
23917,Male,43,Employed 30+ hours a week,North,8 hours
28778,Female,56,Temporarily unemployed,North,Less than an hour
43117,Male,57,Retired from full-time employment (30+ hours per week),Midlands,Less than an hour
32504,Female,61,,,0
23238,Female,15,Full-time student,South,Less than an hour
38966,Male,59,Retired from full-time employment (30+ hours per week),North,4 hours
42239,Male,55,Self-employed,South,1 hour
50142,Male,50,Employed 30+ hours a week,North,16+ hours
33096,Female,40,,,1
18075,Male,55,Other,Midlands,Less than an hour
43568,Female,15,Full-time student,North,4 hours
14521,Female,24,,South,4
21165,Male,18,Full-time student,South,1 hour
2548,Male,64,Other,South,Less than an hour
5662,Female,22,,Centre,2
17287,Female,67,Retired from self-employment,North,0 Hours
33458,Female,13,Full-time student,Midlands,10 hours
9597,Male,15,,Centre,7
33165,Male,54,,,0
49692,Male,55,Employed 30+ hours a week,North,
31238,Female,53,Full-time housewife / househusband,Northern Ireland,
37440,Male,43,Employed 8-29 hours per week,North,1 hour
13715,Male,14,,South,2
37055,Male,13,Full-time student,South,0 Hours
7508,Male,18,,North,3
44363,Male,26,Self-employed,South,1 hour
17861,Male,40,Self-employed,South,1 hour
35720,Male,48,Employed 30+ hours a week,South,Less than an hour
30868,Female,29,Full-time housewife / househusband,North,2 hours
19820,Male,23,Employed 30+ hours a week,South,2 hours
43552,Female,15,Employed 30+ hours a week,South,3 hours
48701,Male,49,Employed 30+ hours a week,North,
47526,Female,18,Full-time student,Midlands,4 hours
9358,Female,39,,Centre,
8153,Female,62,,Centre,
2436,Male,61,Self-employed,Midlands,
20751,Male,52,Full-time housewife / househusband,Midlands,1 hour
28826,Female,32,Employed 8-29 hours per week,North,Less than an hour
49349,Female,20,Full-time student,Midlands,Less than an hour
5628,Male,14,,Centre,1
47274,Female,44,,Centre,2
9575,Male,71,,South,
47023,Female,30,,Centre,2
31153,Male,50,Employed 30+ hours a week,South,Less than an hour
29897,Female,51,Temporarily unemployed,South,Less than an hour
6341,Male,43,,North,
38167,Female,44,Employed 8-29 hours per week,Midlands,1 hour
1954,Male,24,Employed 8-29 hours per week,North,10 hours
17764,Female,24,Other,North,0 Hours
20697,Male,59,Employed 30+ hours a week,Midlands,2 hours
30653,Male,50,Employed 8-29 hours per week,Midlands,16+ hours
2500,Male,40,Employed 30+ hours a week,North,2 hours
503,Female,19,,Centre,4
13056,Female,52,Full-time housewife / househusband,Midlands,Less than an hour
5120,Male,25,Employed part-time less than 8 hours per week,South,2 hours
17054,Male,24,Employed 30+ hours a week,Midlands,1 hour
41899,Female,56,Employed 8-29 hours per week,North,
10365,Male,28,,Centre,1
7786,Male,21,,North,
41602,Male,23,Employed 30+ hours a week,South,3 hours
37606,Female,52,Full-time housewife / househusband,North,8 hours
16797,Female,68,Retired from full-time employment (30+ hours per week),South,1 hour
34557,Female,44,Employed 30+ hours a week,North,Less than an hour
6282,Male,28,,South,1
50452,Female,24,Temporarily unemployed,Midlands,Less than an hour
5664,Female,74,,South,
23696,Female,48,Employed 30+ hours a week,Midlands,1 hour
39626,Female,32,Employed 8-29 hours per week,Midlands,Less than an hour
38662,Female,13,Full-time student,Midlands,1 hour
16487,Female,60,,South,2
47410,Female,65,Full-time housewife / househusband,Midlands,2 hours
44847,Female,24,Employed 30+ hours a week,Midlands,0 Hours
19759,Female,57,Retired from full-time employment (30+ hours per week),North,1 hour
